gene_id	go_terms
LYRU2_2A008230	GO:0001525;GO:0001649;GO:0001654;GO:0001934;GO:0002053;GO:0002062;GO:0003214;GO:0005104;GO:0005604;GO:0005615;GO:0005737;GO:0006606;GO:0008083;GO:0008201;GO:0008543;GO:0010628;GO:0030178;GO:0030238;GO:0030326;GO:0030949;GO:0032927;GO:0042472;GO:0043410;GO:0045880;GO:0045893;GO:0048505;GO:0048566;GO:0048706;GO:0050679;GO:0051781;GO:0060011;GO:0060045;GO:0060484;GO:0060979;GO:0090263;GO:1904707;GO:1904754;GO:1905931;GO:2000243;GO:2000648
LYRU2_2A018627	
LYRU2_2A007312	GO:0009201;GO:0009260;GO:0016740;GO:0043167;GO:0065007;GO:0110165;GO:1901566
LYRU2_2A018921	
LYRU2_2A037953	
LYRU2_2A027545	
LYRU2_2A016251	
LYRU2_2A005441	
LYRU2_2A032638	GO:0016012;GO:0042383
LYRU2_2A021993	
LYRU2_2A010869	
LYRU2_2A037991	GO:0005886;GO:0038023;GO:0043123;GO:0046330
LYRU2_2A038167	
LYRU2_2A027309	GO:0005615;GO:0007165;GO:0019395;GO:0042802;GO:0045792;GO:0071902;GO:0097009;GO:1900078
LYRU2_2A027774	GO:0050790
LYRU2_2A017174	
LYRU2_2A006323	
LYRU2_2A035334	
LYRU2_2A008352	GO:0005635;GO:0005737;GO:0046856;GO:0106018
LYRU2_2A034802	GO:0006913;GO:0008139;GO:0015031;GO:0017056;GO:0051028
LYRU2_2A024132	GO:0005524;GO:0015914;GO:0016020;GO:0016887;GO:0034204;GO:0140326
LYRU2_2A003863	GO:0030178;GO:0040037
LYRU2_2A031703	GO:0005524;GO:0015914;GO:0016020;GO:0016887;GO:0034204;GO:0140326
LYRU2_2A022250	GO:0005737;GO:0006511;GO:0031965;GO:0044314;GO:0045893;GO:0046872;GO:0050681;GO:0060765;GO:0061630;GO:0085020
LYRU2_2A037321	GO:0005515;GO:0005524;GO:0005654;GO:0005730;GO:0006468;GO:0008353;GO:0016592;GO:0051726;GO:0106310
LYRU2_2A007033	GO:0005737;GO:0005856;GO:0030036
LYRU2_2A016106	GO:0005886;GO:0006874;GO:0007186;GO:0031210
LYRU2_2A021821	GO:0005829;GO:0009611
LYRU2_2A005383	
LYRU2_2A038185	
LYRU2_2A011181	GO:0003735;GO:0006412;GO:0031090
LYRU2_2A001898	GO:0005525;GO:0005730;GO:0045943
LYRU2_2A032582	
LYRU2_2A022534	
LYRU2_2A030099	GO:0032790;GO:0043024;GO:0070124
LYRU2_2A023686	GO:0005886;GO:0016567;GO:0030165;GO:0030182;GO:0042802;GO:0046872;GO:0061351
LYRU2_2A013674	GO:0003899;GO:0005736;GO:0006351;GO:0046983
LYRU2_2A002298	
LYRU2_2A024731	GO:0003677;GO:0006357
LYRU2_2A018307	GO:0000978;GO:0000981;GO:0001889;GO:0003309;GO:0003682;GO:0006006;GO:0007263;GO:0016331;GO:0016607;GO:0031017;GO:0035774;GO:0045944;GO:0048565;GO:0050680;GO:1902236;GO:1904692;GO:2000675
LYRU2_2A008176	GO:0000794;GO:0000978;GO:0001227;GO:0001568;GO:0001829;GO:0005654;GO:0008327;GO:0008333;GO:0014807;GO:0017053;GO:0035019;GO:0045197;GO:0045597;GO:0045944;GO:0048863;GO:0060575;GO:0060711
LYRU2_2A031129	GO:0005777;GO:0006147;GO:0006148;GO:0006149;GO:0006154;GO:0006157;GO:0006161;GO:0006196;GO:0006204;GO:0009114;GO:0009115;GO:0019628;GO:0046038;GO:0046055;GO:0046059;GO:0051997
LYRU2_2A035805	GO:0005524;GO:0007169;GO:0016020;GO:0018108;GO:0030097;GO:0042127;GO:0043621
LYRU2_2A024632	GO:0000932;GO:0003723;GO:0004672;GO:0005524;GO:0006397;GO:0006468;GO:0010606;GO:0031251;GO:0046872
LYRU2_2A032512	GO:0005021;GO:0005524;GO:0005886;GO:0018108;GO:0038084;GO:0048010
LYRU2_2A000976	GO:0043248
LYRU2_2A011788	GO:0022857;GO:0034486
LYRU2_2A036655	
LYRU2_2A034373	
LYRU2_2A006576	
LYRU2_2A015957	GO:0001618;GO:0005290;GO:0015189;GO:0015819;GO:0016323;GO:0016324;GO:0032991;GO:0042102;GO:0046718;GO:0061459;GO:1903352;GO:1903401;GO:1903810;GO:1903826
LYRU2_2A021698	GO:0005886
LYRU2_2A022718	
LYRU2_2A033181	GO:0005524;GO:0005737;GO:0005813;GO:0005874;GO:0007049;GO:0007283;GO:0008017;GO:0008352;GO:0008568;GO:0016853;GO:0016887;GO:0030496;GO:0042802;GO:0051013;GO:0051301
LYRU2_2A001066	GO:0000405;GO:0000785;GO:0000793;GO:0000976;GO:0001530;GO:0001773;GO:0001786;GO:0002407;GO:0002437;GO:0002643;GO:0002755;GO:0002840;GO:0003684;GO:0003697;GO:0003713;GO:0003714;GO:0005125;GO:0005178;GO:0005615;GO:0005654;GO:0005793;GO:0006265;GO:0006303;GO:0006334;GO:0007204;GO:0010508;GO:0016829;GO:0017053;GO:0017055;GO:0019958;GO:0031175;GO:0031507;GO:0032072;GO:0032392;GO:0032425;GO:0032689;GO:0032732;GO:0032733;GO:0032735;GO:0032755;GO:0032757;GO:0032760;GO:0033151;GO:0034134;GO:0034142;GO:0034165;GO:0034774;GO:0035711;GO:0035868;GO:0042056;GO:0042104;GO:0043065;GO:0043280;GO:0043371;GO:0043388;GO:0043536;GO:0043537;GO:0044378;GO:0045063;GO:0045944;GO:0046330;GO:0046598;GO:0050786;GO:0050918;GO:0061629;GO:0070182;GO:0070374;GO:0071222;GO:0090026;GO:0097100;GO:0097350;GO:1901224;GO:1904813;GO:1904877;GO:1905564;GO:2000343;GO:2000426;GO:2001200
LYRU2_2A028957	GO:0030576;GO:0032183
LYRU2_2A020301	GO:0004051;GO:0004464;GO:0004602;GO:0005515;GO:0005789;GO:0005829;GO:0008047;GO:0019370;GO:0019372;GO:0031965;GO:0050544;GO:0050790;GO:0070207;GO:0071277
LYRU2_2A018670	GO:0045600
LYRU2_2A018537	
LYRU2_2A007524	
LYRU2_2A035728	GO:0005524;GO:0005654;GO:0005829;GO:0005874;GO:0032991;GO:0043014;GO:0051085;GO:0140662
LYRU2_2A013522	GO:0016757
LYRU2_2A013268	GO:0005886;GO:0007186
LYRU2_2A002459	
LYRU2_2A032514	
LYRU2_2A005464	GO:0006412
LYRU2_2A011866	GO:0003677;GO:0005813;GO:0006289;GO:0030141;GO:0033593;GO:0033600;GO:0043015;GO:0045893;GO:0051298
LYRU2_2A021580	
LYRU2_2A037500	GO:0003714
LYRU2_2A009947	GO:0003677;GO:0005654;GO:0007064;GO:0008285;GO:0051301
LYRU2_2A016155	
LYRU2_2A028234	GO:0005615;GO:0005975;GO:0007568;GO:0008286;GO:0008543;GO:0016020
LYRU2_2A005485	GO:0005737;GO:0007165;GO:0008289;GO:0050790
LYRU2_2A016660	
LYRU2_2A030153	GO:0003677;GO:0003689;GO:0005515;GO:0005654;GO:0005663;GO:0006271;GO:0017116;GO:0031390;GO:0032508;GO:0046683;GO:1900264
LYRU2_2A000071	GO:0003887;GO:0004190;GO:0004523;GO:0006310;GO:0006508;GO:0015074;GO:0016020;GO:0019068;GO:0046718;GO:0046872;GO:0071897;GO:0090502
LYRU2_2A013319	
LYRU2_2A022079	
LYRU2_2A019162	GO:0004674;GO:0005524;GO:0009615;GO:0014069;GO:0016197;GO:0018105;GO:0021952;GO:0030900;GO:0035556;GO:0046983;GO:0048675;GO:0048813;GO:0106310;GO:1900181
LYRU2_2A037508	
LYRU2_2A003048	GO:0005811;GO:0005829;GO:0005886;GO:0009838;GO:0030496;GO:0030514;GO:0031625;GO:0034389;GO:0048698;GO:0050905;GO:0051301;GO:0051881;GO:0060612
LYRU2_2A011199	GO:0005737;GO:0015630;GO:0016538;GO:0044772;GO:0097123;GO:0097124
LYRU2_2A016342	GO:0043231
LYRU2_2A024795	
LYRU2_2A014177	GO:0005654;GO:0005667;GO:0005829;GO:0006355;GO:0007179;GO:0046872
LYRU2_2A000635	GO:0005789;GO:0006487;GO:0007368
LYRU2_2A034061	GO:0000177;GO:0000467;GO:0001650;GO:0004527;GO:0005654;GO:0005694;GO:0005829;GO:0034427;GO:0034473;GO:0034475;GO:0034476;GO:0035925;GO:0042802;GO:0043928;GO:0071028;GO:0071035;GO:0071038;GO:0071042
LYRU2_2A021838	GO:0003712;GO:0006351;GO:0035522
LYRU2_2A017162	GO:0007155;GO:0008201;GO:0008593;GO:0009888;GO:0030198;GO:0046872;GO:0062023;GO:0071307
LYRU2_2A008961	GO:0005911;GO:0008013;GO:0014051;GO:0015279;GO:0016323;GO:0030863;GO:0034704;GO:0045296;GO:0048709;GO:0070509;GO:0070588;GO:0070679
LYRU2_2A001796	GO:0007420;GO:0033146;GO:0034976;GO:0042308;GO:0043066;GO:0061709;GO:1990592
LYRU2_2A027172	GO:0001822;GO:0002009;GO:0005604;GO:0007154;GO:0007155;GO:0007507;GO:0016020;GO:0042733;GO:0048839
LYRU2_2A019217	GO:0007165;GO:0043005;GO:0045121
LYRU2_2A010980	
LYRU2_2A022224	GO:0043161;GO:0061630
LYRU2_2A031046	
LYRU2_2A000351	GO:0000301;GO:0007030;GO:0015031;GO:0017119;GO:0070085
LYRU2_2A018817	
LYRU2_2A024150	
LYRU2_2A003171	
LYRU2_2A011882	GO:0005737;GO:0006355;GO:0043565
LYRU2_2A019948	GO:0005730;GO:0005763;GO:0019904
LYRU2_2A037377	GO:0015189;GO:0015297;GO:0016020;GO:0061459;GO:1903401;GO:1903826;GO:1990575
LYRU2_2A007665	GO:0016311;GO:0016791
LYRU2_2A035070	GO:0005886;GO:0005925;GO:0048041;GO:0050840
LYRU2_2A026357	GO:0005764;GO:0005829;GO:0016236;GO:0031902;GO:0032266;GO:0036258;GO:0043130;GO:0043328;GO:0090148
LYRU2_2A000957	GO:0007026;GO:0015630
LYRU2_2A029055	GO:0005524;GO:0006468
LYRU2_2A022337	GO:0005524;GO:0006468
LYRU2_2A013945	GO:0005789;GO:0006487;GO:0006490;GO:0097502
LYRU2_2A005249	GO:0005524;GO:0005802;GO:0016020;GO:0016887;GO:0035434;GO:0065008;GO:0140581
LYRU2_2A035110	
LYRU2_2A023947	GO:0005769;GO:0045600;GO:0046872
LYRU2_2A015974	
LYRU2_2A022384	GO:0005615;GO:0010951
LYRU2_2A031650	
LYRU2_2A001223	
LYRU2_2A009636	GO:0005525;GO:0005737;GO:0006182;GO:0020037;GO:0035556
LYRU2_2A014640	
LYRU2_2A005942	
LYRU2_2A037722	
LYRU2_2A028089	
LYRU2_2A002009	GO:0051260;GO:1902260
LYRU2_2A036627	GO:0004842;GO:0005789;GO:0008270;GO:0010332;GO:0010942;GO:0016239;GO:0016874;GO:0030433;GO:0032897;GO:0043123;GO:0044790;GO:0045087;GO:0045893;GO:0051092;GO:0051865;GO:0097038
LYRU2_2A024362	
LYRU2_2A016209	GO:0016567;GO:0016740
LYRU2_2A007278	GO:0006606;GO:0061608
LYRU2_2A038010	GO:0016125;GO:0047750
LYRU2_2A019784	GO:0005525
LYRU2_2A011543	
LYRU2_2A003149	
LYRU2_2A033140	
LYRU2_2A034838	GO:0005654;GO:0005694;GO:0005829;GO:0008168;GO:0008270;GO:0034968
LYRU2_2A012547	GO:0043539;GO:0071902
LYRU2_2A008478	
LYRU2_2A017059	GO:0005737;GO:0008270;GO:0009972;GO:0042803;GO:0061676;GO:0070383
LYRU2_2A020592	GO:0007186;GO:0008528
LYRU2_2A028863	
LYRU2_2A012785	GO:0005886;GO:0061737
LYRU2_2A021310	
LYRU2_2A025615	GO:0006357;GO:0051726
LYRU2_2A004106	GO:0005524;GO:0005615;GO:0005886;GO:0030660;GO:0042985
LYRU2_2A016904	
LYRU2_2A025436	GO:0016592;GO:0030374;GO:0032968;GO:0042809;GO:0046966;GO:0051123;GO:0060261;GO:0070847
LYRU2_2A030781	GO:0000302;GO:0005829;GO:0006203;GO:0008413;GO:0035539;GO:0042178;GO:0042262;GO:0061136
LYRU2_2A019848	GO:0004775;GO:0005524;GO:0006099;GO:0006104;GO:0042709
LYRU2_2A012041	GO:0002218;GO:0003677;GO:0003682;GO:0003723;GO:0005694;GO:0006281;GO:0006310;GO:0006397;GO:0008380;GO:0016363;GO:0016607;GO:0042382;GO:0042752;GO:0042802;GO:0045892;GO:0090575;GO:1903377
LYRU2_2A003279	
LYRU2_2A024401	GO:0005901;GO:0007202;GO:0009410;GO:0010513;GO:0014065;GO:0030424;GO:0030425;GO:0031410;GO:0033674;GO:0042802;GO:0044380;GO:0045600;GO:0045821;GO:0050731;GO:0051209;GO:0051378;GO:0070161;GO:0070374;GO:0071886;GO:0098664;GO:0098666;GO:0098793
LYRU2_2A013346	GO:0005829;GO:0018738;GO:0031410;GO:0042802;GO:0046294;GO:0047374
LYRU2_2A007709	GO:1990869;GO:2000405
LYRU2_2A035122	GO:0010314;GO:0032266;GO:0061909;GO:0061910;GO:0070273;GO:0097352
LYRU2_2A020046	
LYRU2_2A009194	GO:0051015;GO:0051017
LYRU2_2A001599	
LYRU2_2A010004	
LYRU2_2A027126	GO:0006511;GO:0016567;GO:0031647;GO:0046872;GO:1903215
LYRU2_2A035431	
LYRU2_2A006594	
LYRU2_2A015593	GO:0005801;GO:0005829;GO:0005886;GO:0006486;GO:0006886;GO:0006888;GO:0006890;GO:0007030;GO:0017119;GO:0033365;GO:0050821
LYRU2_2A032534	GO:0003735;GO:0042788
LYRU2_2A002397	GO:0031966
LYRU2_2A012058	
LYRU2_2A020849	GO:0005509;GO:0005615;GO:0005654;GO:0005771;GO:0005829;GO:0005881;GO:0006816;GO:0006874;GO:0009615;GO:0019827;GO:0140297;GO:1902230;GO:2000384
LYRU2_2A028147	
LYRU2_2A016863	
LYRU2_2A006072	
LYRU2_2A035686	GO:0006357;GO:0008284;GO:0043066
LYRU2_2A023707	GO:0015031
LYRU2_2A013090	
LYRU2_2A001694	GO:0017061;GO:0046872
LYRU2_2A029558	
LYRU2_2A019696	GO:0007624;GO:0009897;GO:0016491
LYRU2_2A008664	GO:0001671;GO:0009267;GO:0019216;GO:0030150;GO:0031333;GO:1902957
LYRU2_2A025505	
LYRU2_2A031299	
LYRU2_2A009074	GO:0001503;GO:0002158;GO:0002548;GO:0005125;GO:0005164;GO:0005576;GO:0006955;GO:0010628;GO:0016020;GO:0019722;GO:0033598;GO:0034112;GO:0038001;GO:0042802;GO:0043123;GO:0043406;GO:0044691;GO:0045780;GO:0045944;GO:0046330;GO:0050870;GO:0051092;GO:0051466;GO:0051897;GO:0055074;GO:0060749;GO:0071812;GO:0071848;GO:1904616;GO:1990830;GO:2001206
LYRU2_2A014962	
LYRU2_2A021423	
LYRU2_2A007997	GO:0016310
LYRU2_2A000119	GO:0005524;GO:0007205;GO:0016310;GO:0046486;GO:0046872
LYRU2_2A010784	GO:0016887
LYRU2_2A033948	
LYRU2_2A006412	GO:0001819;GO:0001937;GO:0003331;GO:0005654;GO:0005730;GO:0005737;GO:0005813;GO:0006956;GO:0010718;GO:0016525;GO:0019901;GO:0030295;GO:0032147;GO:0032967;GO:0043537;GO:0045737;GO:0045840;GO:0045944;GO:0051091;GO:0051496;GO:0070412;GO:0071456;GO:0072537;GO:0090272;GO:1900087;GO:1901203;GO:2000048;GO:2000353
LYRU2_2A018415	GO:0005829;GO:0017196;GO:0031415;GO:0043022;GO:0043066;GO:0050821
LYRU2_2A026944	GO:0006415
LYRU2_2A007172	GO:0035020;GO:0043161;GO:0070936
LYRU2_2A016128	
LYRU2_2A020056	GO:0008270;GO:0016607;GO:0045292;GO:0070064;GO:0071005
LYRU2_2A037297	GO:0001228;GO:0001817;GO:0030154;GO:0045944;GO:0050860
LYRU2_2A011889	
LYRU2_2A020060	
LYRU2_2A032853	GO:0005886;GO:0007156
LYRU2_2A002999	GO:0005615;GO:0005654;GO:0005829;GO:0005886;GO:0007165;GO:0032991;GO:0042581;GO:0045171;GO:0045296;GO:0048471;GO:1900026
LYRU2_2A029333	GO:0005886;GO:0007156
LYRU2_2A018487	GO:0005886;GO:0007156
LYRU2_2A012288	
LYRU2_2A001184	GO:0003924;GO:0005525;GO:0006414
LYRU2_2A026314	GO:0003924;GO:0005525;GO:0006414
LYRU2_2A012462	
LYRU2_2A006581	GO:0005525;GO:0006414
LYRU2_2A034299	
LYRU2_2A021060	GO:0005886;GO:0007156
LYRU2_2A010614	GO:0005525;GO:0006414
LYRU2_2A024936	GO:0003755;GO:0006457
LYRU2_2A038128	GO:0005884;GO:0030041;GO:0031267
LYRU2_2A027048	GO:0006325
LYRU2_2A035072	GO:0004674;GO:0005524;GO:0005798;GO:0005829;GO:0009267;GO:0012506;GO:0016324;GO:0030033;GO:0030336;GO:0042803;GO:0042981;GO:0046777;GO:0048471;GO:0106310;GO:1903205
LYRU2_2A004886	
LYRU2_2A013434	GO:0005829;GO:0006749;GO:0018916;GO:0019899;GO:0035686;GO:0042178;GO:0042803;GO:0043295;GO:0043627;GO:0045171;GO:0070458
LYRU2_2A021599	GO:0005886;GO:0007156
LYRU2_2A030432	
LYRU2_2A000319	
LYRU2_2A030798	GO:0005854;GO:0042788;GO:1905551
LYRU2_2A019858	
LYRU2_2A014505	
LYRU2_2A003168	
LYRU2_2A035169	GO:0005840;GO:0006412;GO:1990904
LYRU2_2A024604	
LYRU2_2A018074	
LYRU2_2A007471	GO:0005886;GO:0007156
LYRU2_2A003538	GO:0002181;GO:0002309;GO:0003735;GO:0005730;GO:0005844;GO:0006364;GO:0006924;GO:0007369;GO:0008284;GO:0019901;GO:0022605;GO:0030425;GO:0031929;GO:0033077;GO:0036464;GO:0042274;GO:0042593;GO:0043065;GO:0043066;GO:0044297;GO:0048471;GO:0048821
LYRU2_2A031366	
LYRU2_2A006978	GO:0005840;GO:0006412;GO:0031090;GO:1990904
LYRU2_2A022201	
LYRU2_2A020935	GO:0005769;GO:0005905;GO:0006886;GO:0016192;GO:0030121;GO:0032588;GO:0035615;GO:0060155;GO:1903232
LYRU2_2A036929	GO:0007628;GO:0016358;GO:0021680;GO:0030425;GO:0043025
LYRU2_2A004325	
LYRU2_2A011171	
LYRU2_2A022071	
LYRU2_2A032540	GO:0006693;GO:0035798;GO:0036132;GO:0047522
LYRU2_2A033675	GO:0005813;GO:0005819;GO:0031021;GO:0033566;GO:0051415;GO:0090307
LYRU2_2A006999	GO:0007088;GO:0019901;GO:0032147;GO:0032880;GO:0051301;GO:0060236;GO:0072687
LYRU2_2A025190	GO:0000176;GO:0003723;GO:0004519;GO:0005085;GO:0005654;GO:0005829;GO:0006396;GO:0016075;GO:0050790;GO:0071034;GO:0090503
LYRU2_2A033801	GO:0005615;GO:0007080;GO:0031393;GO:0032695;GO:0032733;GO:0032815;GO:0034451;GO:0042531;GO:0042532;GO:0042976;GO:0071539;GO:0090307;GO:1905515
LYRU2_2A030419	GO:0000978;GO:0001228;GO:0001525;GO:0005654;GO:0005667;GO:0014816;GO:0014901;GO:0014908;GO:0032534;GO:0043426;GO:0045600;GO:0045944;GO:0060576;GO:0061586;GO:0099156;GO:1902895;GO:1990830
LYRU2_2A017504	
LYRU2_2A010310	
LYRU2_2A021240	GO:0000978;GO:0001227;GO:0005654;GO:0005829;GO:0045944
LYRU2_2A032233	
LYRU2_2A002345	GO:0016192;GO:0032869
LYRU2_2A017133	
LYRU2_2A028007	GO:0051059
LYRU2_2A033469	GO:0005654;GO:0005829;GO:0006511;GO:0016567;GO:0016579;GO:0019784;GO:0043130;GO:0043687
LYRU2_2A022842	GO:0030155;GO:0046872
LYRU2_2A026828	GO:0042734;GO:0042802;GO:0042995;GO:0043235;GO:0045211;GO:0051260
LYRU2_2A001765	
LYRU2_2A004866	
LYRU2_2A037352	
LYRU2_2A022681	GO:0019222;GO:0030424;GO:0046872
LYRU2_2A014630	
LYRU2_2A000781	GO:0005737;GO:0007020;GO:0031116;GO:0031122;GO:0035371
LYRU2_2A033253	GO:0001755;GO:0002001;GO:0002027;GO:0004962;GO:0005886;GO:0006885;GO:0007249;GO:0007422;GO:0007497;GO:0010033;GO:0014043;GO:0014826;GO:0017046;GO:0019722;GO:0030202;GO:0030318;GO:0032341;GO:0035645;GO:0035812;GO:0048246;GO:0048484;GO:0051248;GO:0060070;GO:0060465;GO:0061028;GO:0070294;GO:0070588;GO:0071806;GO:0072112;GO:0086100;GO:0097018;GO:0097402;GO:1904383
LYRU2_2A015032	
LYRU2_2A006302	
LYRU2_2A022472	
LYRU2_2A013928	GO:0003677;GO:0006357
LYRU2_2A010879	GO:0003682;GO:0004842;GO:0006275;GO:0006513;GO:0016874;GO:0046872;GO:0051865
LYRU2_2A002159	
LYRU2_2A037450	
LYRU2_2A024113	
LYRU2_2A006493	GO:0006397;GO:0046872
LYRU2_2A022000	GO:0006511;GO:0007034;GO:0010008;GO:0010629;GO:0030001;GO:0031398;GO:0032410;GO:0048471;GO:0050699;GO:0051224
LYRU2_2A030880	GO:0005682;GO:0005685;GO:0005686;GO:0005687;GO:0005689;GO:0005829;GO:0034709;GO:0034715;GO:0034719;GO:0046540;GO:0071005;GO:0071007;GO:1990446
LYRU2_2A000996	
LYRU2_2A023696	GO:0007605;GO:0008285;GO:0010628;GO:0010719;GO:0010801;GO:0015629;GO:0016525;GO:0019901;GO:0030291;GO:0030335;GO:0030512;GO:0031345;GO:0031397;GO:0032587;GO:0033138;GO:0034260;GO:0040037;GO:0042472;GO:0043066;GO:0043407;GO:0043539;GO:0045165;GO:0046580;GO:0051387;GO:0051897;GO:0060437;GO:0060449;GO:0070373;GO:0070374;GO:0071902;GO:1900747;GO:1902747;GO:1990752;GO:1990830
LYRU2_2A031300	
LYRU2_2A001945	GO:0008270
LYRU2_2A010313	
LYRU2_2A027913	GO:0006979;GO:0030154;GO:0044238;GO:0048519;GO:0048583;GO:0048856;GO:0050794;GO:0071704;GO:0098869
LYRU2_2A035546	GO:0030534;GO:0035264;GO:0042592;GO:0050772;GO:0051965;GO:0098978;GO:0098982;GO:0099560;GO:1905606
LYRU2_2A006168	
LYRU2_2A014557	
LYRU2_2A021315	GO:0002088;GO:0002093;GO:0005886;GO:0007409;GO:0007601;GO:0008344;GO:0021562;GO:0031223;GO:0035264;GO:0051965;GO:0060007;GO:0060384;GO:0090102;GO:1905606
LYRU2_2A036464	
LYRU2_2A008547	GO:0007409;GO:0007625;GO:0009410;GO:0016020;GO:0021756;GO:0030534;GO:0043235;GO:0043588;GO:0048813;GO:0051965;GO:0072359;GO:1905606
LYRU2_2A015516	GO:0006338;GO:0016514
LYRU2_2A031409	GO:0005840;GO:0006412;GO:1990904
LYRU2_2A003473	
LYRU2_2A010225	
LYRU2_2A020692	GO:0005840;GO:0006412;GO:1990904
LYRU2_2A017296	
LYRU2_2A027918	
LYRU2_2A006383	
LYRU2_2A012333	
LYRU2_2A023013	GO:0009966;GO:0062023
LYRU2_2A028780	GO:0009966;GO:0016477;GO:0062023;GO:0098696;GO:0099560;GO:1905606
LYRU2_2A017919	GO:0009966;GO:0016477;GO:0062023;GO:0098696;GO:0099560;GO:1905606
LYRU2_2A026436	GO:0009966;GO:0016477;GO:0062023;GO:0098696;GO:0099560;GO:1905606
LYRU2_2A014710	GO:0033162;GO:0042438
LYRU2_2A025282	
LYRU2_2A032291	GO:0009225
LYRU2_2A004315	GO:0016020;GO:0019236
LYRU2_2A019981	GO:0001228;GO:0001942;GO:0009653;GO:0045944;GO:0048863
LYRU2_2A029156	GO:0016020;GO:0055085;GO:0140359
LYRU2_2A003481	GO:0005886;GO:0005923
LYRU2_2A012152	GO:0046872;GO:0060271
LYRU2_2A026090	GO:0005788;GO:0005829;GO:0019901;GO:0036494;GO:0043066;GO:0043086;GO:0051087;GO:0051603;GO:0051787;GO:0070417;GO:1903912
LYRU2_2A034644	GO:0005788;GO:0006486;GO:0097359
LYRU2_2A009126	GO:0016020
LYRU2_2A017977	GO:0005886;GO:0007186
LYRU2_2A003522	
LYRU2_2A031392	
LYRU2_2A004633	GO:0003925;GO:0005515;GO:0005525;GO:0005829;GO:0005886;GO:0019003;GO:0030033;GO:0030336;GO:0030496;GO:0031532;GO:0031954;GO:0032486;GO:0045184;GO:0046328;GO:0048814;GO:0055038;GO:0071466;GO:0072659
LYRU2_2A025327	
LYRU2_2A014719	
LYRU2_2A003114	GO:0006606;GO:0031267
LYRU2_2A025840	
LYRU2_2A014777	GO:0005856;GO:0008092;GO:0050790
LYRU2_2A027644	GO:0005524;GO:0006468;GO:0030336
LYRU2_2A017107	GO:0016020;GO:0035672;GO:0035673
LYRU2_2A008089	GO:0007264;GO:0050790
LYRU2_2A031016	
LYRU2_2A003361	
LYRU2_2A013336	GO:0007186;GO:0016020
LYRU2_2A004919	GO:0006688;GO:0010908;GO:0016020
LYRU2_2A035147	GO:0004474;GO:0047777;GO:0070207;GO:0106121
LYRU2_2A026912	GO:0046872
LYRU2_2A018356	GO:0046872
LYRU2_2A030668	GO:0005524;GO:0005759;GO:0016042;GO:0046872
LYRU2_2A022702	GO:0016740;GO:0042219;GO:0061929
LYRU2_2A022703	GO:0016740;GO:0042219;GO:0061929
LYRU2_2A014269	
LYRU2_2A024134	GO:0007605;GO:0016020;GO:0030968;GO:0032470;GO:0035269;GO:0051117;GO:1905584
LYRU2_2A001568	
LYRU2_2A029081	GO:0005886;GO:0035725
LYRU2_2A028329	GO:0005925;GO:0007160;GO:0007229;GO:0016477;GO:0033627
LYRU2_2A016927	GO:0005829;GO:0007254;GO:0007399;GO:0008083;GO:0008201;GO:0008344;GO:0010765;GO:0017080;GO:0048167;GO:0050905;GO:0060078;GO:1901843;GO:1903421;GO:1905150
LYRU2_2A006421	
LYRU2_2A023796	
